ida_depth,Time (s)
1,0.019253249
2,0.000195279
3,0.001358282
4,0.001063643
5,0.000147995
6,0.00003024
7,0.000984986
8,0.00249774
9,0.099948651
10,3.54931248
1,0.001559441
2,0.002218996
3,0.001299756
4,0.009008398
5,0.001506284
6,0.00036161
7,0.034318429
8,0.005110074
9,0.08805351
10,0.684720988
1,0.004161817
2,0.001378434
3,0.000405526
4,0.002283021
5,0.000998669
6,0.000885782
7,0.000866327
8,0.007625465
9,0.120726962
10,2.750248681
1,0.000639112
2,0.00043861
3,0.001571444
4,0.001695651
5,0.011851864
6,0.000655574
7,0.002346424
8,0.007931952
9,0.140124052
10,0.943837261
1,0.002007838
2,0.02022366
3,0.002259722
4,0.005715212
5,0.000491527
6,0.000579565
7,0.003833996
8,0.034848306
9,0.050893796
10,1.120769243
1,0.003879942
2,0.00079992
3,0.000061659
4,0.002084608
5,0.00116399
6,0.000996265
7,0.00780895
8,0.001621703
9,0.09718723
10,0.67279805
1,0.001373935
2,0.001062867
3,0.019365303
4,0.001258697
5,0.001450028
6,0.000127098
7,0.000935747
8,0.004842799
9,0.047593564
10,5.092587384
1,0.011228405
2,0.001074592
3,0.001476106
4,0.009220497
5,0.002170875
6,0.00315083
7,0.00014547
8,0.013640855
9,0.014922362
10,2.317443788
1,0.002508412
2,0.014352212
3,0.001603037
4,0.001182318
5,0.000632941
6,0.000018741
7,0.001967726
8,0.001605425
9,0.028126698
10,0.378591839
1,0.001434969
2,0.000443375
3,0.002103499
4,0.000282928
5,0.000234793
6,0.000287989
7,0.000520111
8,0.002444057
9,0.053968689
10,2.764483124
1,0.007450266
2,0.00004251
3,0.00027224
4,0.002797749
5,0.000082448
6,0.00116795
7,0.00061666
8,0.00336433
9,0.076470356
10,2.965776795
1,0.007772033
2,0.000017587
3,0.000918027
4,0.001085826
5,0.015723211
6,0.001683414
7,0.001166571
8,0.009237764
9,0.05217272
10,1.133929848
1,0.000774314
2,0.002829919
3,0.001730945
4,0.018393092
5,0.000862033
6,0.000878683
7,0.001654708
8,0.007458874
9,0.039934745
10,0.624933357
1,0.000457773
2,0.001278872
3,0.001745741
4,0.000399832
5,0.000571664
6,0.009103078
7,0.009312085
8,0.015924643
9,0.121234054
10,2.056358558
1,0.001029672
2,0.004743117
3,0.001204077
4,0.010521163
5,0.001600394
6,0.002113987
7,0.000249159
8,0.003084995
9,0.124598367
10,1.577584892
1,0.000156007
2,0.00357706
3,0.000486252
4,0.000077091
5,0.001043361
6,0.000644933
7,0.014700396
8,0.002497098
9,0.021439488
10,0.472137648
1,0.000581249
2,0.002302222
3,0.000969824
4,0.012331941
5,0.000133759
6,0.001078896
7,0.008899239
8,0.0124024
9,0.1229758
10,2.357806819
1,0.017214723
2,0.002225597
3,0.000027527
4,0.001462615
5,0.000255087
6,0.000813071
7,0.000172285
8,0.01397225
9,0.118651601
10,0.731150561
1,0.000181742
2,0.000081341
3,0.000182202
4,0.000811755
5,0.000151133
6,0.0000292
7,0.010008494
8,0.011655408
9,0.058205885
10,2.309027446
1,0.000805656
2,0.003038919
3,0.001304953
4,0.000739822
5,0.009062832
6,0.001586339
7,0.002341792
8,0.003147039
9,0.016233709
10,4.317423981
1,0.001352186
2,0.000862321
3,0.003506239
4,0.000131421
5,0.000302866
6,0.001333689
7,0.001429691
8,0.003133819
9,0.036929781
10,1.568425617
1,0.000105862
2,0.000025247
3,0.001264905
4,0.002139677
5,0.00079786
6,0.000347914
7,0.002597929
8,0.001107422
9,0.074674673
10,3.473215298
1,0.000642663
2,0.002177095
3,0.003192909
4,0.001061308
5,0.000021656
6,0.001228853
7,0.000956364
8,0.01203825
9,0.022219781
10,0.356108922
1,0.001963055
2,0.000192951
3,0.000568297
4,0.001574533
5,0.000119317
6,0.00048236
7,0.000748305
8,0.005076068
9,0.07876726
10,0.856518607
1,0.001031151
2,0.00485042
3,0.004592205
4,0.000252249
5,0.000601803
6,0.005963609
7,0.001742197
8,0.014318255
9,0.044789007
10,3.46077626
1,0.000687202
2,0.000089271
3,0.000578948
4,0.009408537
5,0.000803268
6,0.001200011
7,0.002176124
8,0.006183304
9,0.107372043
10,1.788663981
1,0.00106942
2,0.001165458
3,0.00007634
4,0.000418023
5,0.000658433
6,0.000288107
7,0.000683516
8,0.012952513
9,0.119192141
10,1.886883932
1,0.002150659
2,0.001698741
3,0.011464859
4,0.001843507
5,0.000251669
6,0.012571098
7,0.001886642
8,0.00585029
9,0.087106633
10,2.186889498
1,0.000312185
2,0.002282673
3,0.000961017
4,0.000247734
5,0.000218748
6,0.001504668
7,0.003908476
8,0.011986182
9,0.060416824
10,0.632913546
1,0.001932172
2,0.000378702
3,0.000063105
4,0.000048888
5,0.000494043
6,0.001217042
7,0.000877181
8,0.011721712
9,0.23006611
10,1.287672734
1,0.002891528
2,0.013812912
3,0.001148873
4,0.001054028
5,0.00085864
6,0.000392228
7,0.006295452
8,0.017352311
9,0.065476451
10,0.743689517
1,0.008437128
2,0.0081563
3,0.000060248
4,0.00204136
5,0.000022972
6,0.011838578
7,0.000845715
8,0.005254903
9,0.030300704
10,0.727656403
1,0.005999918
2,0.001117339
3,0.000802756
4,0.000646158
5,0.001840932
6,0.000386167
7,0.001824486
8,0.008944579
9,0.046040239
10,1.003658652
1,0.014000362
2,0.009361816
3,0.000860213
4,0.00513224
5,0.002861925
6,0.011995372
7,0.000784124
8,0.002121584
9,0.12389397
10,1.9603627559999999
1,0.000469737
2,0.000319275
3,0.000555173
4,0.000269363
5,0.000030128
6,0.001554808
7,0.00124313
8,0.001554976
9,0.134055018
10,0.759028671
1,0.002376321
2,0.000218326
3,0.000072191
4,0.000012496
5,0.002432943
6,0.000797289
7,0.001731938
8,0.007056284
9,0.086704748
10,0.426640887
1,0.000884132
2,0.001078731
3,0.00102077
4,0.001051097
5,0.000429518
6,0.000384618
7,0.001451609
8,0.013807759
9,0.089120353
10,0.535796897
1,0.014457588
2,0.007619229
3,0.002278816
4,0.000048954
5,0.000083641
6,0.001759854
7,0.001127774
8,0.003533981
9,0.036609932
10,1.2465650209999999
1,0.000108325
2,0.001636811
3,0.005705803
4,0.000752683
5,0.000024511
6,0.000992154
7,0.002007502
8,0.002643785
9,0.087971775
10,0.343179761
1,0.007894099
2,0.000044976
3,0.001411134
4,0.000451261
5,0.000211941
6,0.000082069
7,0.000172373
8,0.007391289
9,0.025845126
10,0.47971255
1,0.001825537
2,0.000038685
3,0.000205634
4,0.004132232
5,0.000493879
6,0.000067476
7,0.000164464
8,0.009156879
9,0.086376009
10,1.6712022530000001
1,0.012452453
2,0.001325665
3,0.000141059
4,0.000045811
5,0.001830311
6,0.000101479
7,0.001167783
8,0.003848551
9,0.111961872
10,1.439977391
1,0.000174823
2,0.000961158
3,0.000229904
4,0.000192589
5,0.000677924
6,0.005709475
7,0.00090782
8,0.004129447
9,0.031794329
10,1.651943733
1,0.002716457
2,0.000119346
3,0.005110677
4,0.00013915
5,0.001217044
6,0.000227367
7,0.000452191
8,0.004077847
9,0.045440366
10,0.609073828
1,0.000064797
2,0.000403185
3,0.000688701
4,0.000705947
5,0.001960945
6,0.000179192
7,0.000221788
8,0.005074637
9,0.130527992
10,1.330009008
1,0.001554971
2,0.000130456
3,0.002487059
4,0.001242648
5,0.000064853
6,0.001266124
7,0.000323593
8,0.001126008
9,0.135746817
10,0.850233642
1,0.000825493
2,0.001683262
3,0.000061705
4,0.000705426
5,0.007878955
6,0.003670352
7,0.001953925
8,0.002919725
9,0.05335036
10,1.676730548
1,0.000405266
2,0.000119449
3,0.000775745
4,0.000759389
5,0.010234751
6,0.011797173
7,0.002746269
8,0.00801977
9,0.022344632
10,0.545127016
1,0.001139605
2,0.001546694
3,0.00074516
4,0.001306463
5,0.000545745
6,0.000191938
7,0.001830717
8,0.004090316
9,0.070658793
10,0.262717765
1,0.001268187
2,0.000034242
3,0.000058222
4,0.000032211
5,0.00015761
6,0.000090501
7,0.001278032
8,0.005136804
9,0.063171114
10,0.208479905
1,0.000684056
2,0.00050847
3,0.000748423
4,0.001269529
5,0.000057443
6,0.002111165
7,0.001756955
8,0.000564351
9,0.033662022
10,0.32605313
1,0.001068583
2,0.004465575
3,0.000345039
4,0.000729203
5,0.000897878
6,0.000889828
7,0.000066471
8,0.013277695
9,0.073250894
10,2.603292286
1,0.001146098
2,0.0000399
3,0.005964998
4,0.000168882
5,0.001757139
6,0.00492527
7,0.000109684
8,0.005317313
9,0.074717915
10,4.166216284
1,0.001199401
2,0.000466774
3,0.000710838
4,0.000297409
5,0.000919272
6,0.000331135
7,0.001035644
8,0.002750654
9,0.092403324
10,0.871128263
1,0.005211425
2,0.000069462
3,0.000317397
4,0.000332752
5,0.00062118
6,0.000092861
7,0.000349036
8,0.010818843
9,0.032544507
10,0.262382251
1,0.000261007
2,0.001470974
3,0.000094633
4,0.001580591
5,0.014710609
6,0.013084068
7,0.008344937
8,0.006445106
9,0.089540034
10,0.788619974
1,0.000720087
2,0.000052519
3,0.000276468
4,0.000015846
5,0.001975519
6,0.007588746
7,0.002875762
8,0.006192021
9,0.076798385
10,1.596248326
1,0.002401397
2,0.000782463
3,0.010672181
4,0.001787042
5,0.001663027
6,0.001135077
7,0.000714801
8,0.004615965
9,0.289810509
10,2.750460294
1,0.000523772
2,0.00459691
3,0.00051409
4,0.000586909
5,0.000058367
6,0.000883045
7,0.000199039
8,0.001908902
9,0.055781718
10,1.174982588
1,0.001732522
2,0.001219969
3,0.000971414
4,0.001219014
5,0.001405205
6,0.000195619
7,0.001502754
8,0.004677724
9,0.073511973
10,3.200263469
1,0.000091353
2,0.000688902
3,0.000102703
4,0.000060423
5,0.000238123
6,0.001306087
7,0.002778956
8,0.002467165
9,0.146961858
10,2.245718132
1,0.006323238
2,0.003729344
3,0.007530464
4,0.000394202
5,0.000969338
6,0.001900512
7,0.001398014
8,0.006875446
9,0.033748556
10,0.504355951
1,0.004053357
2,0.001299026
3,0.005638766
4,0.00075919
5,0.006019848
6,0.007776432
7,0.000514701
8,0.003641021
9,0.033806583
10,4.002787474
1,0.008892201
2,0.000346295
3,0.000636808
4,0.000216382
5,0.000504072
6,0.000119501
7,0.02234931
8,0.00339708
9,0.064204212
10,0.354780585
1,0.000480197
2,0.002838493
3,0.000431472
4,0.000864064
5,0.002539093
6,0.000817388
7,0.000209471
8,0.004480039
9,0.049931486
10,0.46929842
1,0.01638268
2,0.000611566
3,0.000479057
4,0.004297094
5,0.000066559
6,0.004595141
7,0.00089086
8,0.006886604
9,0.02820068
10,0.881575791
1,0.000597993
2,0.000908573
3,0.014940553
4,0.007325131
5,0.001206854
6,0.002060868
7,0.00645023
8,0.002662075
9,0.107695667
10,0.743089227
1,0.000169488
2,0.001163724
3,0.012244233
4,0.001480252
5,0.000613234
6,0.001169099
7,0.006215835
8,0.004462031
9,0.040282335
10,0.727038171
1,0.001171772
2,0.000319904
3,0.000778619
4,0.000137379
5,0.001345407
6,0.004070803
7,0.000605023
8,0.009143909
9,0.022405937
10,0.929614869
1,0.000362597
2,0.013288698
3,0.000076556
4,0.00041119
5,0.001195667
6,0.001978417
7,0.001288011
8,0.003909088
9,0.017965735
10,0.423134788
1,0.000179702
2,0.000078181
3,0.019481599
4,0.000739515
5,0.000995224
6,0.000327593
7,0.001256002
8,0.003920224
9,0.085032558
10,1.2197000789999999
1,0.000730251
2,0.001383706
3,0.00097272
4,0.001409267
5,0.002663997
6,0.00016505
7,0.010413305
8,0.008593938
9,0.360572953
10,2.69648401
1,0.000244827
2,0.000802955
3,0.000294475
4,0.000351466
5,0.000899464
6,0.00002729
7,0.007523176
8,0.006041318
9,0.052673434
10,1.960469229
1,0.002327558
2,0.000092482
3,0.000820113
4,0.001063256
5,0.001791208
6,0.000846686
7,0.002795211
8,0.001145281
9,0.03415952
10,1.421357354
1,0.001752165
2,0.00829539
3,0.000572532
4,0.011152548
5,0.000176269
6,0.000425108
7,0.000445745
8,0.004437308
9,0.016687625
10,1.3328974630000001
1,0.002920843
2,0.000885294
3,0.000443538
4,0.000645284
5,0.00302134
6,0.008017235
7,0.001230109
8,0.003878175
9,0.145072918
10,1.6877398179999998
1,0.000618941
2,0.001939423
3,0.009795512
4,0.000217425
5,0.005959945
6,0.001201158
7,0.00008459
8,0.001410222
9,0.024545135
10,0.91665419
1,0.000977591
2,0.001087271
3,0.000164648
4,0.000989807
5,0.001032975
6,0.00115265
7,0.002190006
8,0.005436761
9,0.051783421
10,2.359652322
1,0.002473253
2,0.001293077
3,0.000734213
4,0.000187435
5,0.01329059
6,0.000619655
7,0.000591034
8,0.001308997
9,0.326710381
10,0.824040339
1,0.000033921
2,0.002370742
3,0.014791684
4,0.000752212
5,0.008661411
6,0.000255678
7,0.006765104
8,0.00865842
9,0.166124369
10,5.67006004
1,0.001202245
2,0.002055416
3,0.00074581
4,0.000385078
5,0.004854548
6,0.000887865
7,0.000138794
8,0.006099208
9,0.045414449
10,1.155814334
1,0.000668842
2,0.002787936
3,0.000895253
4,0.000554474
5,0.009057246
6,0.000883634
7,0.000459278
8,0.007504209
9,0.037280595
10,0.256885649
1,0.007387614
2,0.000967773
3,0.000066503
4,0.003529465
5,0.000544178
6,0.000525788
7,0.001008517
8,0.00217308
9,0.03419852
10,0.826387558
1,0.008667723
2,0.00022553
3,0.002174991
4,0.001416527
5,0.003465549
6,0.004419256
7,0.003115492
8,0.009040647
9,0.142868757
10,1.462577709
1,0.006329441
2,0.009623455
3,0.002436769
4,0.001226894
5,0.000305438
6,0.000211068
7,0.000637973
8,0.020347769
9,0.005640156
10,0.793868651
1,0.000128662
2,0.000140005
3,0.000614071
4,0.001365433
5,0.000692766
6,0.00172884
7,0.000845824
8,0.014428245
9,0.133481405
10,1.130997063
1,0.000554299
2,0.000814156
3,0.005773715
4,0.000276187
5,0.000549479
6,0.000888748
7,0.000245818
8,0.003356519
9,0.020678613
10,1.202883856
1,0.005368866
2,0.000921905
3,0.001621664
4,0.000339252
5,0.000673675
6,0.000552575
7,0.002159429
8,0.011169311
9,0.314876177
10,0.662523718
1,0.000360518
2,0.004257996
3,0.000775039
4,0.000338398
5,0.000900795
6,0.002472478
7,0.000150231
8,0.001871365
9,0.039525976
10,1.896898355
1,0.000093326
2,0.000043368
3,0.000981771
4,0.000315837
5,0.000314877
6,0.000747503
7,0.002337474
8,0.008334089
9,0.051142224
10,1.514042457
1,0.000721915
2,0.000063554
3,0.000426431
4,0.001766306
5,0.00100069
6,0.000087886
7,0.00213355
8,0.009425966
9,0.034218293
10,1.910532983
1,0.003772639
2,0.012642843
3,0.000813495
4,0.000168287
5,0.013304632
6,0.000155407
7,0.000358366
8,0.013758208
9,0.13319424
10,11.109315797
1,0.00081223
2,0.007654275
3,0.000336761
4,0.000719729
5,0.000890781
6,0.008619625
7,0.008676509
8,0.028143861
9,0.26459715
10,1.7825173410000001
1,0.000395982
2,0.000778666
3,0.000612662
4,0.005753665
5,0.00086308
6,0.0016638
7,0.000123544
8,0.010067854
9,0.053958643
10,0.490541447
1,0.000168508
2,0.000363268
3,0.000759776
4,0.001316533
5,0.000328931
6,0.00075622
7,0.000731013
8,0.004708304
9,0.340056382
10,1.30117638
1,0.002807904
2,0.00020277
3,0.000612935
4,0.000038759
5,0.002247027
6,0.001140183
7,0.001672788
8,0.007637411
9,0.03443813
10,1.124300039
1,0.000468113
2,0.000128492
3,0.008820518
4,0.000637596
5,0.001283542
6,0.001986642
7,0.001483678
8,0.008070757
9,0.031281312
10,0.574402635
1,0.001058863
2,0.001587088
3,0.000915093
4,0.000129638
5,0.000369353
6,0.000684932
7,0.001063863
8,0.012036282
9,0.014102913
10,2.177474995
1,0.002211093
2,0.000069071
3,0.001088613
4,0.000760356
5,0.005334449
6,0.000961992
7,0.001903553
8,0.020772994
9,0.204975767
10,3.104149724
1,0.000866715
2,0.000120267
3,0.000075871
4,0.001141161
5,0.000754456
6,0.002299697
7,0.000229888
8,0.001530919
9,0.046095724
10,6.720659166
